epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,6654.02,1.7208,1.07476,1.59654,0.85322,0.7875,0.86578,0.41493,1.67055,0.9302,1.55642,0.00984754,0.00984754,0.00984754
79,6788.13,1.71647,1.07143,1.577,0.87157,0.80772,0.8914,0.45271,1.63196,0.88803,1.51968,0.00984556,0.00984556,0.00984556
80,6922,1.69062,1.09098,1.58176,0.86896,0.80047,0.88637,0.44076,1.62723,0.909,1.52762,0.00984358,0.00984358,0.00984358
81,7055.79,1.69925,1.09739,1.61696,0.87982,0.81699,0.90163,0.47088,1.61156,0.87374,1.50052,0.0098416,0.0098416,0.0098416
82,7189.88,1.68102,1.05151,1.57704,0.8717,0.81178,0.89599,0.46456,1.62977,0.88641,1.51296,0.00983962,0.00983962,0.00983962
83,7323.92,1.68254,1.05204,1.57159,0.86612,0.80586,0.892,0.45033,1.64384,0.91701,1.52461,0.00983764,0.00983764,0.00983764
84,7457.56,1.66438,1.02648,1.55586,0.8836,0.8148,0.90156,0.45915,1.61747,0.87849,1.5059,0.00983566,0.00983566,0.00983566
85,7591.37,1.69296,1.03457,1.5675,0.8833,0.83038,0.908,0.46446,1.61014,0.85495,1.49302,0.00983368,0.00983368,0.00983368
86,7725.2,1.70605,1.03468,1.56707,0.88214,0.81041,0.8992,0.46421,1.62076,0.89819,1.51034,0.0098317,0.0098317,0.0098317
87,7858.7,1.68312,1.01273,1.56056,0.8892,0.8182,0.90311,0.46121,1.64482,0.87656,1.53362,0.00982972,0.00982972,0.00982972
88,7991.96,1.65252,1.01261,1.55743,0.89383,0.82238,0.90576,0.4767,1.59035,0.8593,1.49095,0.00982774,0.00982774,0.00982774
89,8125.46,1.67028,1.02721,1.54953,0.89061,0.81126,0.90567,0.4768,1.59666,0.87294,1.49854,0.00982576,0.00982576,0.00982576
90,8258.72,1.66654,1.00705,1.54501,0.88744,0.82727,0.90839,0.46674,1.61634,0.87046,1.50605,0.00982378,0.00982378,0.00982378
91,8391.83,1.64908,1.02806,1.56926,0.89181,0.8265,0.913,0.4891,1.58004,0.82857,1.47939,0.0098218,0.0098218,0.0098218
92,8525.06,1.67059,1.01689,1.55297,0.87801,0.83114,0.91254,0.48061,1.59044,0.85405,1.49751,0.00981982,0.00981982,0.00981982
93,8658.52,1.6666,1.02038,1.55652,0.8782,0.82256,0.90997,0.48211,1.59276,0.84499,1.50008,0.00981784,0.00981784,0.00981784
94,8791.44,1.64201,1.03677,1.56597,0.88464,0.81412,0.90801,0.48935,1.55822,0.85084,1.47535,0.00981586,0.00981586,0.00981586
95,8924.7,1.66598,1.01585,1.55607,0.87889,0.80228,0.89999,0.47572,1.60613,0.87607,1.49851,0.00981388,0.00981388,0.00981388
96,9058.88,1.63326,1.00509,1.54705,0.8619,0.81615,0.89633,0.47256,1.59912,0.86122,1.47869,0.0098119,0.0098119,0.0098119
97,9192.21,1.6479,0.99023,1.53429,0.89045,0.83006,0.91321,0.48845,1.55775,0.821,1.45666,0.00980992,0.00980992,0.00980992
98,9325.53,1.64134,0.95905,1.52998,0.89116,0.83215,0.91694,0.49344,1.54803,0.82098,1.45235,0.00980794,0.00980794,0.00980794
99,9458.68,1.69709,1.00906,1.54459,0.88332,0.8271,0.90978,0.48317,1.56399,0.82205,1.4637,0.00980596,0.00980596,0.00980596
100,9591.81,1.64395,0.99864,1.54851,0.89587,0.83704,0.91656,0.4957,1.56307,0.83379,1.47336,0.00980398,0.00980398,0.00980398
101,9725.2,1.63819,0.99019,1.54823,0.8864,0.8335,0.91558,0.49968,1.54799,0.80431,1.46425,0.009802,0.009802,0.009802
102,9858.54,1.6165,0.9805,1.54602,0.88896,0.83784,0.9173,0.4983,1.5499,0.80699,1.46776,0.00980002,0.00980002,0.00980002
103,9991.69,1.59377,0.98328,1.51573,0.89796,0.84328,0.9243,0.50378,1.52546,0.79299,1.44685,0.00979804,0.00979804,0.00979804
104,10124.9,1.62148,0.96607,1.51507,0.89158,0.84648,0.92481,0.49778,1.52986,0.79529,1.44269,0.00979606,0.00979606,0.00979606
105,10258,1.66184,0.99098,1.54137,0.88846,0.84648,0.92332,0.50051,1.53103,0.79389,1.44719,0.00979408,0.00979408,0.00979408
106,10391.3,1.63282,0.96373,1.51687,0.88945,0.85002,0.92133,0.50906,1.52342,0.78646,1.44225,0.0097921,0.0097921,0.0097921
107,10524.6,1.59961,0.96095,1.52285,0.89447,0.83273,0.91731,0.50217,1.53045,0.81906,1.44712,0.00979012,0.00979012,0.00979012
108,10658.1,1.61096,0.95543,1.50544,0.90255,0.84123,0.92498,0.50779,1.52536,0.78526,1.44067,0.00978814,0.00978814,0.00978814
109,10791.8,1.60531,0.95628,1.50719,0.90598,0.85086,0.92963,0.50858,1.52535,0.7874,1.4488,0.00978616,0.00978616,0.00978616
110,10925.1,1.59157,0.93746,1.50081,0.89544,0.84597,0.92424,0.49546,1.53836,0.79724,1.45531,0.00978418,0.00978418,0.00978418
111,11058.1,1.59312,0.92716,1.49921,0.89742,0.84665,0.92555,0.50323,1.52831,0.79559,1.43339,0.0097822,0.0097822,0.0097822
112,11191.2,1.60364,0.93291,1.52186,0.89691,0.84745,0.92743,0.51307,1.51072,0.77572,1.42271,0.00978022,0.00978022,0.00978022
113,11324.2,1.6092,0.94277,1.49377,0.88702,0.83923,0.91915,0.50044,1.52667,0.79303,1.43049,0.00977824,0.00977824,0.00977824
